competition,season,match_date,start_time,venue,home_team,away_team,match_stage,match_status,toss_winner,toss_decision,winning_team,result_type,result_margin_value,result_margin_type,result_method,result_source,result_override_reason,scheduled_balls,revised_balls,target_runs,revised_target_runs
England v Sri Lanka ODI Series,2026,2026-09-22,12:30,Banks Homes Riverside,England,Sri Lanka,League,Scheduled,,,,,,,,,,300,,,
England v Sri Lanka ODI Series,2026,2026-09-24,12:30,Headingley,England,Sri Lanka,League,Scheduled,,,,,,,,,,300,,,
England v Sri Lanka ODI Series,2026,2026-09-27,10:30,Kia Oval,England,Sri Lanka,League,Scheduled,,,,,,,,,,300,,,
