competition,season,match_date,home_team,away_team,innings_number,batting_team,bowling_team,runs,wickets,balls,extras,target,completed,innings_status
England v Sri Lanka ODI Series,2026,2026-09-22,England,Sri Lanka,1,,,,,,,,0,Not Started
England v Sri Lanka ODI Series,2026,2026-09-22,England,Sri Lanka,2,,,,,,,,0,Not Started
England v Sri Lanka ODI Series,2026,2026-09-24,England,Sri Lanka,1,,,,,,,,0,Not Started
England v Sri Lanka ODI Series,2026,2026-09-24,England,Sri Lanka,2,,,,,,,,0,Not Started
England v Sri Lanka ODI Series,2026,2026-09-27,England,Sri Lanka,1,,,,,,,,0,Not Started
England v Sri Lanka ODI Series,2026,2026-09-27,England,Sri Lanka,2,,,,,,,,0,Not Started
