competition,season,match_date,start_time,venue,home_team,away_team,match_stage,match_status,toss_winner,toss_decision,winning_team,result_type,result_margin_value,result_margin_type,result_method,result_source,result_override_reason,scheduled_balls,revised_balls,target_runs,revised_target_runs
The Hundred Men,2026,2026-07-21,18:30,Kia Oval,MI London,SunRisers Leeds,League,Completed,,,MI London,Wickets,7,Wickets,Standard,Calculated,,,,,
The Hundred Men,2026,2026-07-22,18:30,Utilita Bowl,Southern Brave,Welsh Fire,League,Completed,,,Welsh Fire,Wickets,6,Wickets,Standard,Calculated,,,,,
The Hundred Men,2026,2026-07-23,18:30,Lord's,London Spirit,Manchester Super Giants,League,Completed,,,Manchester Super Giants,Runs,7,Runs,Standard,Calculated,,,,,
The Hundred Men,2026,2026-07-24,18:30,Edgbaston,Birmingham Phoenix,Trent Rockets,League,Completed,,,Birmingham Phoenix,Runs,10,Runs,Standard,Calculated,,,,,
The Hundred Men,2026,2026-07-25,14:30,Headingley,SunRisers Leeds,Southern Brave,League,Completed,,,SunRisers Leeds,Runs,5,Runs,Standard,Calculated,,,,,
The Hundred Men,2026,2026-07-25,18:00,Sophia Gardens,Welsh Fire,MI London,League,Completed,,,Welsh Fire,Runs,15,Runs,Standard,Calculated,,,,,
The Hundred Men,2026,2026-07-26,14:30,Emirates Old Trafford,Manchester Super Giants,Birmingham Phoenix,League,Completed,,,Manchester Super Giants,Runs,87,Runs,Standard,Calculated,,,,,
The Hundred Men,2026,2026-07-26,18:00,Trent Bridge,Trent Rockets,London Spirit,League,Completed,,,Trent Rockets,Wickets,4,Wickets,Standard,Calculated,,,,,
The Hundred Men,2026,2026-07-27,18:30,Utilita Bowl,Southern Brave,MI London,League,Completed,,,MI London,Wickets,3,Wickets,Standard,Calculated,,,,,
The Hundred Men,2026,2026-07-28,18:30,Headingley,SunRisers Leeds,Manchester Super Giants,League,Completed,,,SunRisers Leeds,Wickets,8,Wickets,Standard,Calculated,,,,,
The Hundred Men,2026,2026-07-29,15:00,Sophia Gardens,Welsh Fire,Trent Rockets,League,Completed,,,Trent Rockets,Wickets,9,Wickets,Standard,Calculated,,,,,
The Hundred Men,2026,2026-07-29,18:30,Kia Oval,MI London,London Spirit,League,Completed,,,London Spirit,Wickets,7,Wickets,Standard,Calculated,,,,,
The Hundred Men,2026,2026-07-30,18:30,Utilita Bowl,Southern Brave,Birmingham Phoenix,League,Completed,,,Southern Brave,Runs,12,Runs,Standard,Calculated,,,,,
The Hundred Men,2026,2026-07-31,18:30,Emirates Old Trafford,Manchester Super Giants,Trent Rockets,League,Completed,,,Trent Rockets,Wickets,6,Wickets,Standard,Calculated,,,,,
The Hundred Men,2026,2026-08-01,14:30,Edgbaston,Birmingham Phoenix,Welsh Fire,League,Completed,,,Welsh Fire,Wickets,7,Wickets,Standard,Calculated,,,,,
The Hundred Men,2026,2026-08-01,18:00,Lord's,London Spirit,Southern Brave,League,Completed,,,Southern Brave,Wickets,5,Wickets,Standard,Calculated,,,,,
The Hundred Men,2026,2026-08-02,14:30,Trent Bridge,Trent Rockets,SunRisers Leeds,League,Completed,,,Trent Rockets,Runs,5,Runs,Standard,Calculated,,,,,
The Hundred Men,2026,2026-08-02,18:00,Kia Oval,MI London,Manchester Super Giants,League,Completed,,,MI London,Runs,45,Runs,Standard,Calculated,,,,,
The Hundred Men,2026,2026-08-03,18:30,Sophia Gardens,Welsh Fire,Southern Brave,League,Completed,,,Welsh Fire,Wickets,6,Wickets,Standard,Calculated,,,,,
The Hundred Men,2026,2026-08-04,18:30,Headingley,SunRisers Leeds,London Spirit,League,Completed,,,SunRisers Leeds,Runs,37,Runs,Standard,Calculated,,,,,
The Hundred Men,2026,2026-08-05,15:00,Emirates Old Trafford,Manchester Super Giants,Welsh Fire,League,Completed,,,Manchester Super Giants,Wickets,9,Wickets,Standard,Calculated,,,,,
The Hundred Men,2026,2026-08-05,18:30,Trent Bridge,Trent Rockets,Birmingham Phoenix,League,Completed,,,Trent Rockets,Wickets,7,Wickets,Standard,Calculated,,,,,
The Hundred Men,2026,2026-08-06,18:30,Lord's,London Spirit,MI London,League,Completed,,,MI London,Wickets,4,Wickets,Standard,Calculated,,,,,
The Hundred Men,2026,2026-08-07,18:30,Edgbaston,Birmingham Phoenix,SunRisers Leeds,League,Completed,,,SunRisers Leeds,Runs,45,Runs,Standard,Calculated,,,,,
The Hundred Men,2026,2026-08-08,14:30,Kia Oval,MI London,Trent Rockets,League,Completed,,,Trent Rockets,Wickets,6,Wickets,Standard,Calculated,,,,,
The Hundred Men,2026,2026-08-08,18:00,Utilita Bowl,Southern Brave,Manchester Super Giants,League,Completed,,,Manchester Super Giants,Runs,10,Runs,Standard,Calculated,,,,,
The Hundred Men,2026,2026-08-09,14:30,Headingley,SunRisers Leeds,Welsh Fire,League,Completed,,,SunRisers Leeds,Runs,71,Runs,Standard,Calculated,,,,,
The Hundred Men,2026,2026-08-09,18:00,Lord's,London Spirit,Birmingham Phoenix,League,Completed,,,London Spirit,Wickets,7,Wickets,Standard,Calculated,,,,,
The Hundred Men,2026,2026-08-10,18:30,Trent Bridge,Trent Rockets,Southern Brave,League,Completed,,,Southern Brave,Wickets,6,Wickets,Standard,Calculated,,,,,
The Hundred Men,2026,2026-08-11,18:30,Emirates Old Trafford,Manchester Super Giants,SunRisers Leeds,League,Completed,,,Manchester Super Giants,Wickets,10,Wickets,Standard,Calculated,,,,,
The Hundred Men,2026,2026-08-12,15:00,Sophia Gardens,Welsh Fire,London Spirit,League,Completed,,,London Spirit,Runs,6,Runs,Standard,Calculated,,,,,
The Hundred Men,2026,2026-08-12,18:30,Edgbaston,Birmingham Phoenix,MI London,League,Completed,,,MI London,Runs,2,Runs,Standard,Calculated,,,,,
The Hundred Men,2026,2026-08-14,18:30,Kia Oval,Manchester Super Giants,SunRisers Leeds,Eliminator,Completed,,,Manchester Super Giants,Runs,20,Runs,Standard,Calculated,,100,,,
The Hundred Men,2026,2026-08-16,18:00,Lord's,Trent Rockets,Manchester Super Giants,Final,Completed,,,Manchester Super Giants,Wickets,5,Wickets,Standard,Calculated,,100,,,
