competition,season,match_date,start_time,venue,home_team,away_team,match_stage,match_status,toss_winner,toss_decision,winning_team,result_type,result_margin_value,result_margin_type,result_method,result_source,result_override_reason,scheduled_balls,revised_balls,target_runs,revised_target_runs
England v Sri Lanka T20I Series,2026,2026-09-15,18:30,Utilita Bowl,England,Sri Lanka,League,Scheduled,,,,,,,,,,120,,,
England v Sri Lanka T20I Series,2026,2026-09-17,18:30,Sophia Gardens,England,Sri Lanka,League,Scheduled,,,,,,,,,,120,,,
England v Sri Lanka T20I Series,2026,2026-09-19,14:30,Emirates Old Trafford,England,Sri Lanka,League,Scheduled,,,,,,,,,,120,,,
