name,country,gender,home_venue
Birmingham Phoenix,England,Women,Edgbaston
London Spirit,England,Women,Lord's
Manchester Super Giants,England,Women,Emirates Old Trafford
MI London,England,Women,Kia Oval
Southern Brave,England,Women,Utilita Bowl
SunRisers Leeds,England,Women,Headingley
SunRisers Leeds,England,Men,Headingley
Trent Rockets,England,Women,Trent Bridge
Welsh Fire,England,Women,Sophia Gardens
