competition,season,match_date,start_time,venue,home_team,away_team,match_stage,match_status,toss_winner,toss_decision,winning_team,result_type,result_margin_value,result_margin_type,result_method,result_source,result_override_reason,scheduled_balls,revised_balls,target_runs,revised_target_runs
England Women v Ireland Women ODI Series,2026,2026-09-01,13:00,The Uptonsteel County Ground,England,Ireland,League,Completed,England,Field,England,Wickets,6,Wickets,Standard,Manual,England Women won by 6 wickets,300,,282,
England Women v Ireland Women ODI Series,2026,2026-09-03,13:00,The Central Co-op County Ground,England,Ireland,League,Completed,England,Field,England,Wickets,6,Wickets,Standard,Manual,England Women won by 6 wickets,300,,166,
England Women v Ireland Women ODI Series,2026,2026-09-06,10:30,Visit Worcestershire New Road,England,Ireland,League,Completed,Ireland,Field,England,Runs,114,Runs,Standard,Manual,England Women won by 114 runs,300,,292,
